author_text,qid,query_date,country_of_birth,gender,country_of_citizenship,ethnicity,sexual_orientation,date_of_birth,date_of_death
J. R. R. Tolkien,Q892,2025-12-10,,,,,,,
John Kennedy Toole,Q313739,2025-12-10,,,,,,,
George R. R. Martin,Q181677,2025-12-10,,,,,,,
Patrick Rothfuss,Q514546,2025-12-10,,,,,,,
Carl Sagan,Q410,2025-12-10,,,,,,,
George Orwell,Q3335,2025-12-10,,,,,,,
Arturo Pérez-Reverte,Q155106,2025-12-10,,,,,,,
Robin Cook,Q352059,2025-12-10,,,,,,,
Hannah Arendt,Q60025,2025-12-10,,,,,,,
Isaac Asimov,Q34981,2025-12-10,,,,,,,
John Le Mesurier,Q139712,2025-12-10,,,,,,,
Peter Woodthorpe,Q200676,2025-12-10,,,,,,,
Michael Hordern,Q956867,2025-12-10,,,,,,,
Robert Stephens,Q12665,2025-12-10,,,,,,,
Ian Holm,Q223091,2025-12-10,,,,,,,
Terry Brooks,Q318845,2025-12-10,,,,,,,
Empty Author,,2025-12-10,,,,,,,
Caroline Criado Perez,Q14945692,2025-12-10,,,,,,,
Frederic Stout,Q112360019,2025-12-10,,,,,,,
Richard T. LeGates,Q112495174,2025-12-10,,,,,,,
Katherine Neville,Q2503610,2025-12-10,,,,,,,
Rutger Bregman,Q19747970,2025-12-10,,,,,,,
Patrick Süskind,Q105994,2025-12-10,,,,,,,
Haruki Murakami,Q134798,2025-12-10,,,,,,,
Maggie O'Farrell,Q3062438,2025-12-10,,,,,,,
Attica Locke,Q4818340,2025-12-10,,,,,,,
Pierre Dardot,Q106835390,2025-12-10,,,,,,,
Christian Laval,Q2965409,2025-12-10,,,,,,,
Alfonso Díez,Q5554679,2025-12-10,,,,,,,
Lewis Mumford,Q469888,2025-12-10,,,,,,,
Max Gladstone,Q16203004,2025-12-10,,,,,,,
Marta Rojals,Q11935658,2025-12-10,,,,,,,
Alan Lee,Q102108,2025-12-10,,,,,,,
Diana Hacker,Q47115735,2025-12-10,,,,,,,
Jostein Gaarder,Q185548,2025-12-10,,,,,,,
Tony Fischetti,,2025-12-10,,,,,,,
Kazu Kibuishi,Q13607172,2025-12-10,,,,,,,
Jake VanderPlas,Q60155762,2025-12-10,,,,,,,
에릭 레이먼드,Q188954,2025-12-10,,,,,,,
Mario Vargas Llosa,Q39803,2025-12-10,,,,,,,
Gabrielle Zevin,Q529735,2025-12-10,,,,,,,
Wes McKinney,Q22279146,2025-12-10,,,,,,,
Jordi Arcarons Bullich,,2025-12-10,,,,,,,
Lluís Torrens Mèlich,,2025-12-10,,,,,,,
Julen Bollain Urbieta,Q27583239,2025-12-10,,,,,,,
Daniel Raventós Pañella,Q8353655,2025-12-10,,,,,,,
Mercè Rodoreda,Q234663,2025-12-10,,,,,,,
Jean M. Auel,Q229996,2025-12-10,,,,,,,
J.P. Carasso,,2025-12-10,,,,,,,
Joan Triadú,Q472979,2025-12-10,,,,,,,
Eduardo Punset,Q3045769,2025-12-10,,,,,,,
Layla Martínez,Q122961400,2025-12-10,,,,,,,
Amal El-Mohtar,Q20631001,2025-12-10,,,,,,,
William Shakespeare,Q692,2025-12-10,,,,,,,
Suzanne Collins,Q228624,2025-12-10,,,,,,,
Lou Marinoff,Q1993089,2025-12-10,,,,,,,
Edgar Cantero,Q8771884,2025-12-10,,,,,,,
Lawrence Lessig,Q217790,2025-12-10,,,,,,,
