title,author_text,remote_id,openlibrary_key,finna_key,inventaire_id,librarything_key,goodreads_key,bnf_id,viaf,wikidata,asin,aasin,isfdb,isbn_10,isbn_13,oclc_number,start_date,finish_date,stopped_date,rating,review_name,review_cw,review_content,review_published,shelf,shelf_name,shelf_date,pages,language
1984,George Orwell,https://bookwyrm.social/book/322389,OL37016955M,,,,,,,,,,,8423309835,9788423309832.0,,,2005-03-07,,5.0,A must-read,,"Excellent, yet depressing book depicting a dystopic society that has way too much verisimilitude.
A must-read.",2022-03-07,read,Read,2022-03-07,,es
¡Comprometeos! : conversaciones con Gilles Vanderpooten,Stéphane Hessel,https://bookwyrm.social/book/345395,,,isbn:9788423345137,,,,,,,,,8423345130,9788423345137.0,,2013-03-12,2013-04-12,,4.0,,,,,read,Read,2017-11-04,96.0,es
¿Dónde hacen pipí los peces?,Juan Carlos Bonache,https://bookwyrm.social/book/2036615,,,,,,,,,,,,8467970634,9788467970630.0,,2025-07-07,2025-07-07,,,,,,,read,Read,2025-07-09,96.0,es
¿quién ha robado la Mona Lisa?,Geronimo Stilton,https://bookwyrm.social/book/1296192,OL26492222M,,,,,,,,,,,8408096079,9788408096078.0,,,,,3.0,,,,,,,,,es
¿Quién se ha llevado mi queso?,Spencer Johnson,https://bookwyrm.social/book/180317,OL22127801M,,,,,,,,8495787091.0,,,8495787091,9788495787095.0,,2003-02-01,2003-04-01,,,,,,,read,Read,2017-11-04,106.0,es
1Q84,Haruki Murakami,https://bookwyrm.social/book/180397,OL31856365M,,,,,,,,,,,8499304885,9788499304885.0,,,2014-01-01,,5.0,,,,,read,Read,2015-02-24,782.0,ca
1Q84,Haruki Murakami,https://bookwyrm.social/book/345435,OL47132076M,,isbn:9788499305882,,,,,,,,,8499305881,9788499305882.0,,,2014-12-01,,2.0,Review of '1Q84. Llibre 3' on 'Goodreads',,"Després dels excel·lents volums anteriors, el final de 1Q84 es presenta lent i tremendament decepcionant. No està a l'alçada dels anteriors.",2014-12-01,read,Read,2015-02-24,446.0,ca
21 Lessons for the 21st Century,Yuval Noah Harari,https://bookwyrm.social/book/36288,OL26962423M,,isbn:9780525512172,,38820046.0,,,,,,,525512179,9780525512172.0,1029771757.0,,,,,,,,,to-read,To Read,2019-02-22,,en
A Confederacy of Dunces,John Kennedy Toole,https://bookwyrm.social/book/44522,OL24203981M,,isbn:9780802130204,,,,,,,,,802130208,9780802130204.0,44430458.0,,,,,,,,,to-read,To Read,2022-08-13,394.0,en
After Dark,Haruki Murakami,https://bookwyrm.social/book/176147,OL9396183M,,isbn:9780307265838,,17803.0,,,,,,,307265838,9780307265838.0,,,,,3.0,,,,,read,Read,2019-01-30,191,en
Aloma,Mercè Rodoreda,https://bookwyrm.social/book/180395,OL22186194M,,,,,,,,,,,8420631000,9788420631004.0,,,1997-01-01,,,,,,,read,Read,2017-04-29,158.0,ca
Anatomía de la lengua,Elena Álvarez Mellado,https://bookwyrm.social/book/180303,OL25929191M,,,,30225999.0,,,,,,,8499742130,9788499742137.0,,,2018-06-02,,4.0,,,,,read,Read,2018-04-10,,es
Animal Farm,George Orwell,https://bookwyrm.social/book/32425,OL25182486M,,isbn:9780141036137,,3149348.0,,,,,,,141036133,9780141036137.0,,,,,4.0,,,,,read,Read,2017-05-09,141.0,en
Architecture of Neoliberalism,Douglas Spencer,https://bookwyrm.social/book/345288,OL34526960M,,,,,,,,,,,1472581512,9781472581518.0,,2016-12-30,,2022-08-22,,,,,,stopped-reading,Stopped reading,2022-08-22,232.0,en
Argelagues,Gemma Ruiz,https://bookwyrm.social/book/232927,,,,,,,,,,,,8475886299,9788475886299.0,,2023-12-30,2024-01-19,,3.0,,,,,read,Read,2024-01-19,,ca
Arquitectura y política,Josep Maria Montaner,https://bookwyrm.social/book/180391,OL25222898M,,,,,,,,,,,8425224373,9788425224379.0,847616920.0,,2017-01-01,,2.0,,,,,read,Read,2017-05-09,253.0,es
Hamnet,Maggie O'Farrell,https://bookwyrm.social/book/191143,OL32178475M,,,,,,,,,,,1472223829,9781472223821.0,,2022-03-21,2022-05-02,,3.0,,,,,read,Read,2022-05-02,372.0,en
Atlas of the Invisible,"James Cheshire, Oliver Uberti",https://bookwyrm.social/book/604017,OL34685105M,,,,,,,,,,,1846149711,9781846149719.0,,,,,,,,,,to-read,To Read,2024-09-05,,en
Balzac Y LA Joven Costurera China,Dai Sijie,https://bookwyrm.social/book/180367,OL9548673M,,,,,,,,,,,8478886508,9788478886500.0,,,2017-09-05,,4.0,,,,,read,Read,2017-09-05,192,es
Bullshit Jobs,David Graeber,https://bookwyrm.social/book/26882,OL26487199M,,isbn:9781501143311,,34466958.0,,,,,,,150114331X,9781501143311.0,1035847195.0,2021-01-02,2021-05-16,,4.0,"Fun, depressing, provocative",,"Halfway between the humoristic and scientific publication, what started as a provocation ends up in building a theory that is in fact a (often humoristic, sometimes depressing) criticism to capitalistic system and the work culture that is embedded on it. A must-read.",2022-03-08,read,Read,,368.0,en
Cantar del Mio Cid,anonymous,https://bookwyrm.social/book/345397,,,isbn:9781542961431,,,,,,,,,1542961432,9781542961431.0,,,1992-01-01,,,,,,,read,Read,2017-05-10,,es
Canto jo i la muntanya balla,Irene Solà,https://bookwyrm.social/book/120788,OL28169209M,,isbn:9788433915689,,45286062.0,,,,,,,8433915681,9788433915689.0,,2024-07-17,2024-08-24,,5.0,Diferent i sorprenent,Podria considerar-se un espòiler,"Un llibre molt diferent de cap altre que hagi llegit, una història coral que comprèn diverses generacions i diferents mirades (i estils) sobre una sèrie d'esdeveniments relacionats amb una família, però sobretot amb un mateix indret. I és que són les muntanyes, els Pirineus, les veritables protagonistes del llibre.

M'ha encantat, malgrat moltes de les històries que explica siguin tristes.",2024-08-25,read,Read,2024-11-01,190,ca
Capitalist Realism,Mark Fisher,https://bookwyrm.social/book/46940,OL24611852M,,isbn:9781846943171,,6763725.0,,,,,,,1846943175,9781846943171.0,699737863.0,,,,,,,,,to-read,To Read,2025-09-11,81.0,en
Carta abierta de Woody Allen a Platón,Juan Antonio Rivera,https://bookwyrm.social/book/180351,OL22724489M,,,,,,,,,,,8467020326,9788467020328.0,,,,,,,,,,to-read,To Read,2017-11-04,293.0,es
"Cavall, atleta, ocell",Manuel Baixauli,https://bookwyrm.social/book/1760979,,,,,,,,,,,,8419332690,9788419332691.0,,2025-07-20,2025-07-28,,3.0,,,,,read,Read,2025-07-28,256,ca
Choque De Reyes,George R. R. Martin,https://bookwyrm.social/book/456262,OL26882609M,,,,,,,,,,,8493270229,9788493270223.0,,2013-06-01,2013-12-09,,4.0,,,,,read,Read,2025-12-09,,es
Chums: How a Tiny Caste of Oxford Tories Took Over the UK,Simon Kuper,https://bookwyrm.social/book/1314654,OL35563943M,,,,,,,,,,,1788167384,9781788167383.0,1329265086.0,,,,,,,,,to-read,To Read,2024-04-16,,en
