"id","domain","open_registration","description","banner_url","location.city","location.country","software.id","software.name","software.url","software.version","stats.status_count","stats.user_count","stats.monthly_active_users","first_seen_at","last_seen_at","date_scraped"
18059,"mastodon.social",TRUE,"The original server operated by the Mastodon gGmbH non-profit","https://fedidb.pixelcdn.net/instances/18059/5qomokcg_thumbnail.png",NA,Germany,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2+nightly-20230619,57681385, 1200905,  220176,"2021-03-30T20:10:40.000000Z","2023-06-21T06:09:51.000000Z",2023-06-21
18033,"mstdn.jp",TRUE,NA,NA,NA,United States,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.1,67349249,  353110,   30398,"2021-03-30T20:10:41.000000Z","2023-06-21T06:09:50.000000Z",2023-06-21
17921,"mastodon.cloud",TRUE,"Everyone is welcome as long as you follow our code of conduct! Thank you.

Mastodon.cloud is maintained by Sujitech, LLC.
","https://fedidb.pixelcdn.net/instances/17921/j1ft9vyh_thumbnail.jpg",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.1, 5385235,  258906,    9516,"2021-03-30T20:10:42.000000Z","2023-06-21T04:09:18.000000Z",2023-06-21
18048,"mstdn.social",TRUE,"A general-purpose Mastodon server with a 500 character limit. All languages are welcome.","https://fedidb.pixelcdn.net/instances/18048/bflmven1_thumbnail.png",NA,Germany,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,11454618,  199572,   31541,"2021-03-30T20:10:42.000000Z","2023-06-21T04:09:21.000000Z",2023-06-21
17937,"misskey.io",TRUE,NA,NA,NA,United States, 12,Misskey,https://fedidb.org/software/misskey,13.13.2,19679867,  186681,    3070,"2021-03-21T07:02:57.000000Z","2023-06-21T04:09:19.000000Z",2023-06-21
18053,"mastodon.online",TRUE,"A newer server operated by the Mastodon gGmbH non-profit","https://fedidb.pixelcdn.net/instances/18053/kz6bkttv_thumbnail.png",Helsinki,Finland,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2+nightly-20230619, 5312430,  179124,   23347,"2021-03-30T20:10:42.000000Z","2023-06-21T04:09:21.000000Z",2023-06-21
16811,"mastodon.world",TRUE,"Generic Mastodon server for anyone to use.","https://fedidb.pixelcdn.net/instances/16811/bswababt_thumbnail.png",Helsinki,Finland,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2+nightly-20230517, 3170662,  166070,   27243,"2021-03-21T07:01:16.000000Z","2023-06-21T04:08:43.000000Z",2023-06-21
18040,"mas.to",TRUE,"Hello! mas.to is a fast, up-to-date and fun Mastodon server.","https://fedidb.pixelcdn.net/instances/18040/je4i3wpq_thumbnail.png",NA,Germany,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 4740027,  160331,   24517,"2021-03-21T07:03:05.000000Z","2023-06-21T06:09:51.000000Z",2023-06-21
11856,"micro.blog",TRUE,NA,NA,NA,NA,127,Microdotblog,https://fedidb.org/software/microdotblog,2.1, 5006797,  113652,    4824,"2021-03-21T06:54:12.000000Z","2023-06-21T07:05:52.000000Z",2023-06-21
48838,"gc2.jp",TRUE,"GC2はYouTubeやTwitterといった既存のSNSより言論の自由を尊重したSNSです。","https://fedidb.pixelcdn.net/instances/48838/sy2e8wha_thumbnail.jpg",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,3.5.3, 1217104,  100062,   15836,"2022-12-30T23:02:35.000000Z","2023-06-21T03:17:06.000000Z",2023-06-21
18006,"pixelfed.social",TRUE,"The original Pixelfed instance, operated by the main developer @dansup","https://fedidb.pixelcdn.net/instances/18006/8i2n2ojw_thumbnail.jpg",NA,United States,  1,Pixelfed,https://fedidb.org/software/pixelfed,0.11.8, 3660311,   81838,    7845,"2021-03-30T20:10:44.000000Z","2023-06-21T04:09:20.000000Z",2023-06-21
 4411,"techhub.social",TRUE,"A hub primarily for passionate technologists, but everyone is welcome","https://fedidb.pixelcdn.net/instances/4411/ufaxkbya_thumbnail.png",Montreal,Canada,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,  802565,   76873,   12156,"2021-03-21T06:34:35.000000Z","2023-06-21T09:02:39.000000Z",2023-06-21
28482,"universeodon.com",TRUE,"Be one with the #fediverse. Join millions of humans building, creating, and collaborating on Mastodon Social Network.","https://fedidb.pixelcdn.net/instances/28482/pmjplakt_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.2.0, 1949601,   74663,   10803,"2022-11-05T10:30:07.000000Z","2023-06-21T04:14:16.000000Z",2023-06-21
 9294,"mastodon.sdf.org",TRUE,"""I appreciate SDF but it's a general-purpose server and the name doesn't make it obvious that it's about art."" - Eugen Rochko","https://fedidb.pixelcdn.net/instances/9294/nicbqqxn_thumbnail.png",NA,United States,  2,Mastodon,https://fedidb.org/software/mastodon,4.0.2, 1326031,   72643,    8358,"2021-03-21T06:43:56.000000Z","2023-06-21T06:05:34.000000Z",2023-06-21
36950,"bird.makeup",TRUE,NA,NA,NA,NA, 31,Birdsitelive,https://fedidb.org/software/birdsitelive,1.0.0,       0,   72424,NA,"2022-11-28T04:30:15.000000Z","2023-06-21T03:15:34.000000Z",2023-06-21
28312,"mastodonapp.uk",TRUE,"UK Hosted and Managed Mastodon Instance. General communal space for discussion, everyone welcome!","https://fedidb.pixelcdn.net/instances/28312/bveoklve_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 1801628,   71715,   11263,"2022-11-04T22:30:09.000000Z","2023-06-21T06:13:42.000000Z",2023-06-21
28964,"masto.ai",TRUE,"A general Mastodon server for all languages.","https://fedidb.pixelcdn.net/instances/28964/wkw4lqjc_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 1345326,   69941,    7235,"2022-11-09T13:00:13.000000Z","2023-06-21T06:13:57.000000Z",2023-06-21
17935,"mastodon.uno",TRUE,"Mastodon.Uno è la prima comunità generalista italiana.
Con oltre 65.000 iscritti è il più grande nodo Mastodon italiano. ","https://fedidb.pixelcdn.net/instances/17935/0dxwqcmt_thumbnail.png",NA,France,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 1111179,   67530,    9521,"2021-03-21T07:02:56.000000Z","2023-06-21T06:09:47.000000Z",2023-06-21
17378,"c.im",TRUE,"C.IM is a general, mainly English-speaking Mastodon instance.","https://fedidb.pixelcdn.net/instances/17378/baud18gb_thumbnail.png",NA,United States,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 1512631,   63303,    6642,"2021-03-21T07:02:08.000000Z","2023-06-21T04:09:01.000000Z",2023-06-21
18015,"fosstodon.org",TRUE,"Fosstodon is an English speaking Mastodon instance that is open to anyone who is interested in technology; particularly free &amp; open source software.","https://fedidb.pixelcdn.net/instances/18015/kkocaigk_thumbnail.png",NA,France,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2, 2272767,   58921,   15521,"2021-03-21T07:03:03.000000Z","2023-06-21T07:08:37.000000Z",2023-06-21
15853,"infosec.exchange",TRUE,"A Mastodon instance for info/cyber security-minded people.
","https://fedidb.pixelcdn.net/instances/15853/asnwdl5p_thumbnail.png",Seattle,United States,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.1+glitch, 1528043,   55215,   17523,"2021-03-21T06:59:49.000000Z","2023-06-21T04:08:11.000000Z",2023-06-21
16950,"mastodon.top",FALSE,"Mastodon.top est une instance francophone stable, régulièrement mise à jour et accessible à tous hébergée par VirtuBox","https://fedidb.pixelcdn.net/instances/16950/tf0gpngi_thumbnail.png",NA,Germany,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.2,  503411,   50970,    4082,"2021-03-21T07:01:27.000000Z","2023-06-21T04:08:47.000000Z",2023-06-21
30282,"mstdn.party",TRUE,"Mastodon Party is a general-purpose Mastodon instance, welcome to the fediverse!","https://fedidb.pixelcdn.net/instances/30282/xgchvulz_thumbnail.png",NA,NA,  2,Mastodon,https://fedidb.org/software/mastodon,4.1.0, 1108472,   49195,    6169,"2022-11-09T11:03:10.000000Z","2023-06-21T04:15:14.000000Z",2023-06-21
