id,name,updated_at,checked_at,uptime,up,dead,version,ipv6,https_score,https_rank,obs_score,obs_rank,users,statuses,connections,open_registrations,thumbnail,thumbnail_proxy,active_users,email,admin,added_at
59067231bf4623585ed68d91,mastodon.social,2023-06-21T07:40:57.156Z,2023-06-21T07:40:57.156Z,1,TRUE,FALSE,4.1.2+nightly-20230619,TRUE,100,A+,70,B ,1201035,57685540,56785,TRUE,https://files.mastodon.social/site_uploads/files/000/000/001/@1x/57c12f441d083cde.png,https://camo.instances.social/3eb87e258204c00f81a82a5b8fa573ab905df112/68747470733a2f2f66696c65732e6d6173746f646f6e2e736f6369616c2f736974655f75706c6f6164732f66696c65732f3030302f3030302f3030312f4031782f353763313266343431643038336364652e706e67,125176,staff@mastodon.social,Mastodon,NA
58f0c31c762338151ee6d7e9,pawoo.net,2023-06-21T07:50:17.436Z,2023-06-21T07:50:17.436Z,1,TRUE,FALSE,3.3.3,FALSE,5,F ,80,B+,879927,70939640,33437,TRUE,https://img.pawoo.net/site_uploads/files/000/000/001/original/pawoo_ogp2.png,https://camo.instances.social/c51363b57295a9b5cc39177f64bd16299dcf3e44/68747470733a2f2f696d672e7061776f6f2e6e65742f736974655f75706c6f6164732f66696c65732f3030302f3030302f3030312f6f726967696e616c2f7061776f6f5f6f6770322e706e67,30013,NA,pawoo_russel,2017-04-14T12:39:56.134Z
58edff729aee4e669a21ffed,mstdn.jp,2023-06-21T07:10:58.428Z,2023-06-21T07:10:58.428Z,1,TRUE,FALSE,4.1.1,TRUE,10,E ,80,B+,353121,67350274,55440,TRUE,https://mstdn.jp/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,https://camo.instances.social/0bc9a9aa833a6072bf3263a62a1c7e46628aed00/68747470733a2f2f6d7374646e2e6a702f7061636b732f6d656469612f696d616765732f707265766965772d36333939616562643936636366303235363534653239373734353466313638662e706e67,16775,info@sujitech.com,mstdn_jp,2017-04-12T10:20:34.792Z
58ff89a7c306ca088943467d,baraag.net,2023-06-21T07:41:16.451Z,2023-06-21T07:41:16.451Z,1,TRUE,FALSE,4.1.2,TRUE,5,F ,80,B+,293257,8913594,23388,FALSE,https://media.baraag.net/site_uploads/files/000/000/006/@1x/64e596b00bd1c7bb.png,https://camo.instances.social/f031bde3e8ee3adf7a8df1bbc9c2b81413c8e6d6/68747470733a2f2f6d656469612e6261726161672e6e65742f736974655f75706c6f6164732f66696c65732f3030302f3030302f3030362f4031782f363465353936623030626431633762622e706e67,56,anampses@protonmail.com,satori,2017-04-25T17:38:47.263Z
58e383f821ace530cfec9c88,mastodon.cloud,2023-06-21T07:45:03.669Z,2023-06-21T07:45:03.669Z,1,TRUE,FALSE,4.1.1,TRUE,10,E ,130,A+,258956,5385811,42650,TRUE,https://media.mastodon.cloud/site_uploads/files/000/000/001/@1x/ZkJtnD8w.png,https://camo.instances.social/43eb1d7fc8ae578f2b83d3ab83071bbec58c0719/68747470733a2f2f6d656469612e6d6173746f646f6e2e636c6f75642f736974655f75706c6f6164732f66696c65732f3030302f3030302f3030312f4031782f5a6b4a746e4438772e706e67,4430,info@sujitech.com,TheAdmin,NA
637b309ad94dca7f11e7b8ac,mstdn.social,2023-06-21T07:00:43.211Z,2023-06-21T07:00:43.211Z,1,TRUE,FALSE,4.1.2,TRUE,5,F ,80,B+,199585,11456319,50852,TRUE,https://media.mstdn.social/site_uploads/files/000/000/004/@1x/c11a2dab9bb53abc.png,https://camo.instances.social/b4830dcc5546335bbd94f7e965deef72cb4f93f1/68747470733a2f2f6d656469612e6d7374646e2e736f6369616c2f736974655f75706c6f6164732f66696c65732f3030302f3030302f3030342f4031782f633131613264616239626235336162632e706e67,18738,hello@mstdn.social,stux,2022-11-21T08:02:34.445Z
5f28316b1bba02004a39df5d,mastodon.online,2023-06-21T07:31:12.005Z,2023-06-21T07:31:12.005Z,1,TRUE,FALSE,4.1.2+nightly-20230619,TRUE,100,A+,70,B ,179150,5313564,34536,TRUE,https://files.mastodon.online/site_uploads/files/000/000/001/@1x/dac498d1edf4191b.png,https://camo.instances.social/86a8af83b8ff99264840ea47dafb9b4c0d2e20e3/68747470733a2f2f66696c65732e6d6173746f646f6e2e6f6e6c696e652f736974655f75706c6f6164732f66696c65732f3030302f3030302f3030312f4031782f646163343938643165646634313931622e706e67,14313,staff@mastodon.online,Mastodon,2020-08-03T15:46:51.692Z
59d93db2cd5c687334b1b32f,counter.social,2023-06-21T06:56:03.401Z,2023-06-21T06:56:03.401Z,1,TRUE,FALSE,2.8.0,TRUE,5,F ,20,F ,168672,10823687,0,TRUE,https://counter.social/system/site_uploads/files/000/000/001/original/counter.social-og-meta-image.png?1511132467,https://camo.instances.social/cda365637de44fa81dee1aa364c68d067a20a5bf/68747470733a2f2f636f756e7465722e736f6369616c2f73797374656d2f736974655f75706c6f6164732f66696c65732f3030302f3030302f3030312f6f726967696e616c2f636f756e7465722e736f6369616c2d6f672d6d6574612d696d6167652e706e673f31353131313332343637,NA,support@counter.social,th3j35t3r,2017-10-07T20:48:50.026Z
604db76e88f1bd03b0d0ff07,mastodon.world,2023-06-21T07:45:13.735Z,2023-06-21T07:45:13.735Z,1,TRUE,FALSE,4.1.2+nightly-20230517,TRUE,5,F ,80,B+,166082,3171406,26629,TRUE,https://s3.eu-central-2.wasabisys.com/mastodonworld/site_uploads/files/000/000/004/@1x/885a3f13bac1c0f5.png,https://camo.instances.social/7481970314d49e63143ecadfa6d2e20a35d973f8/68747470733a2f2f73332e65752d63656e7472616c2d322e7761736162697379732e636f6d2f6d6173746f646f6e776f726c642f736974655f75706c6f6164732f66696c65732f3030302f3030302f3030342f4031782f383835613366313362616331633066352e706e67,14233,info@mastodon.world,mwadmin,2021-03-14T07:12:46.550Z
5c9d4aa41a6b052b7e8d102d,mas.to,2023-06-21T07:30:53.894Z,2023-06-21T07:30:53.894Z,1,TRUE,FALSE,4.1.2,TRUE,5,F ,80,B+,160334,4740570,35132,TRUE,https://media.mas.to/masto-public/site_uploads/files/000/000/004/@1x/0df1671fc18e31bb.png,https://camo.instances.social/90b0ab5897538102531557234c128e08d3534294/68747470733a2f2f6d656469612e6d61732e746f2f6d6173746f2d7075626c69632f736974655f75706c6f6164732f66696c65732f3030302f3030302f3030342f4031782f306466313637316663313865333162622e706e67,14546,trumpet@mas.to,trumpet,2019-03-28T22:28:52.399Z
63f460385f1a39eb46e09058,pravda.me,2023-06-21T06:55:27.761Z,2023-06-21T06:55:27.761Z,1,TRUE,FALSE,4.1.2,FALSE,5,F ,80,B+,143621,734259,498,TRUE,https://pravda.me/system/site_uploads/files/000/000/004/@1x/2b9a34fa7170b3a8.png,https://camo.instances.social/02a7f9d168e10df80459e79a810f21198eda384a/68747470733a2f2f7072617664612e6d652f73797374656d2f736974655f75706c6f6164732f66696c65732f3030302f3030302f3030342f4031782f326239613334666137313730623361382e706e67,53,info@pravda.me,admin,2023-02-21T06:10:00.121Z
64886d3b21d0126e0637024d,masto16.iana.de,2023-06-21T07:50:30.926Z,2023-06-21T07:50:30.926Z,1,TRUE,FALSE,4.1.2,FALSE,10,E ,80,B+,105500,0,3,TRUE,https://masto1.iana.de/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,https://camo.instances.social/9129a98eb2d952acd54574b9b6c7a455a0cc1890/68747470733a2f2f6d6173746f312e69616e612e64652f7061636b732f6d656469612f696d616765732f707265766965772d36333939616562643936636366303235363534653239373734353466313638662e706e67,NA,NA,admin,2023-06-13T13:20:59.116Z
64886d3b21d0126e0637024e,masto14.iana.de,2023-06-21T07:50:30.946Z,2023-06-21T07:50:30.946Z,1,TRUE,FALSE,4.1.2,FALSE,10,E ,80,B+,105500,0,3,TRUE,https://masto1.iana.de/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,https://camo.instances.social/9129a98eb2d952acd54574b9b6c7a455a0cc1890/68747470733a2f2f6d6173746f312e69616e612e64652f7061636b732f6d656469612f696d616765732f707265766965772d36333939616562643936636366303235363534653239373734353466313638662e706e67,NA,NA,admin,2023-06-13T13:20:59.117Z
64886d3b21d0126e06370250,masto15.iana.de,2023-06-21T07:50:30.996Z,2023-06-21T07:50:30.996Z,1,TRUE,FALSE,4.1.2,FALSE,10,E ,80,B+,105500,0,3,TRUE,https://masto1.iana.de/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,https://camo.instances.social/9129a98eb2d952acd54574b9b6c7a455a0cc1890/68747470733a2f2f6d6173746f312e69616e612e64652f7061636b732f6d656469612f696d616765732f707265766965772d36333939616562643936636366303235363534653239373734353466313638662e706e67,NA,NA,admin,2023-06-13T13:20:59.237Z
64886d3c21d0126e06370252,masto13.iana.de,2023-06-21T07:50:30.942Z,2023-06-21T07:50:30.942Z,1,TRUE,FALSE,4.1.2,FALSE,10,E ,80,B+,105500,0,3,TRUE,https://masto1.iana.de/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,https://camo.instances.social/9129a98eb2d952acd54574b9b6c7a455a0cc1890/68747470733a2f2f6d6173746f312e69616e612e64652f7061636b732f6d656469612f696d616765732f707265766965772d36333939616562643936636366303235363534653239373734353466313638662e706e67,NA,NA,admin,2023-06-13T13:21:00.798Z
64886d3c21d0126e06370253,masto12.iana.de,2023-06-21T07:50:30.966Z,2023-06-21T07:50:30.966Z,1,TRUE,FALSE,4.1.2,FALSE,10,E ,80,B+,105500,0,3,TRUE,https://masto1.iana.de/packs/media/images/preview-6399aebd96ccf025654e2977454f168f.png,https://camo.instances.social/9129a98eb2d952acd54574b9b6c7a455a0cc1890/68747470733a2f2f6d6173746f312e69616e612e64652f7061636b732f6d656469612f696d616765732f707265766965772d36333939616562643936636366303235363534653239373734353466313638662e706e67,NA,NA,admin,2023-06-13T13:21:00.894Z
